Environmental indicator,,,,,,,,,,
,,Emissions (GgCO2e),,,,,,,,
sector,year,Regulated,Unregulated,EU ETS Coverage,,,,,,
Electricity and Heat,2017,314.96,1920.92,16.40,259.97,1943.19,13.38,268.99,1751.49,15.36
Electricity and Heat,2018,371.26,1981.10,18.74,309.37,2022.50,15.30,298.00,1852.52,16.09
Electricity and Heat,2019,386.11,2029.58,19.02,313.93,2039.51,15.39,310.91,1928.95,16.12
Electricity and Heat,2020,381.26,2016.59,18.91,291.47,1835.22,15.88,308.15,1979.13,15.57
Electricity and Heat,2021,345.56,2066.23,16.72,380.45,2683.33,14.18,282.07,2131.44,13.23
Electricity and Heat,2022,331.11,1952.42,16.96,617.25,4321.31,14.28,296.26,2206.93,13.42
Non-metallic Minerals,2013,323.11,948.63,34.06,80.14,231.75,34.58,47.61,107.12,44.45
Non-metallic Minerals,2014,320.44,937.14,34.19,86.21,241.83,35.65,48.61,110.34,44.05
Non-metallic Minerals,2015,324.80,973.41,33.37,89.46,248.90,35.94,51.99,113.25,45.91
Non-metallic Minerals,2016,360.18,1019.63,35.32,96.59,249.90,38.65,56.45,117.03,48.24
Non-metallic Minerals,2017,393.31,942.50,41.73,106.67,232.07,45.96,57.55,120.90,47.61
Non-metallic Minerals,2018,417.32,1180.72,35.34,110.94,288.45,38.46,61.62,127.44,48.36
Non-metallic Minerals,2019,430.59,1181.78,36.44,118.15,301.36,39.20,67.85,137.47,49.35
Non-metallic Minerals,2020,405.97,1151.95,35.24,108.00,274.81,39.30,65.00,132.81,48.94
Non-metallic Minerals,2021,363.15,1145.88,31.69,120.17,323.75,37.12,65.07,141.13,46.11
Non-metallic Minerals,2022,341.41,1077.36,31.69,137.30,367.68,37.34,65.77,144.42,45.54
Petroleum and Coke,2013,151.85,208.15,72.95,429.10,721.19,59.50,74.63,165.14,45.20
Petroleum and Coke,2014,167.18,212.68,78.60,425.29,723.23,58.80,79.15,178.49,44.34
Petroleum and Coke,2015,80.81,188.21,42.93,331.57,544.27,60.92,78.54,186.99,42.01
Petroleum and Coke,2016,174.78,202.03,86.51,284.07,463.98,61.23,80.71,191.47,42.15
Petroleum and Coke,2017,189.54,211.49,89.62,345.28,542.72,63.62,87.13,178.15,48.91
Petroleum and Coke,2018,,,,418.08,638.56,65.47,98.81,190.39,51.90
Petroleum and Coke,2019,,,,432.05,653.08,66.16,111.32,204.16,54.53
Petroleum and Coke,2020,,,,289.68,415.07,69.79,129.13,176.73,73.07
Petroleum and Coke,2021,,,,383.73,536.13,71.57,130.69,183.65,71.17
Petroleum and Coke,2022,,,,633.99,849.81,74.60,,,
Pulp and Paper,2013,198.58,580.71,34.20,100.26,209.94,47.76,45.56,79.42,57.37
Pulp and Paper,2014,203.32,620.38,32.77,102.02,220.01,46.37,49.09,85.34,57.53
Pulp and Paper,2015,203.12,635.11,31.98,103.01,228.13,45.15,50.42,87.50,57.62
Pulp and Paper,2016,204.85,625.87,32.73,102.88,227.58,45.21,52.61,90.28,58.27
Pulp and Paper,2017,218.10,676.21,32.25,111.85,239.34,46.73,53.19,88.71,59.96
Pulp and Paper,2018,230.67,691.74,33.35,120.85,246.10,49.11,55.00,92.93,59.18
Pulp and Paper,2019,237.56,738.05,32.19,119.13,247.69,48.10,66.81,113.37,58.93
Pulp and Paper,2020,233.86,739.71,31.62,105.61,234.99,44.94,63.48,113.88,55.74
Pulp and Paper,2021,220.55,740.81,29.77,119.11,267.63,44.51,66.77,118.46,56.36
Pulp and Paper,2022,202.87,708.62,28.63,145.82,334.41,43.61,71.15,124.06,57.35
